
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01
         2   6 -2.722613E+03 -4.608926E-13 -4.608926E-13  6.039120E-14 -2.053608E-13  4.678039E-14
         2   7 -2.722613E+03 -6.913389E-13 -6.913389E-13 -1.715294E-13 -6.884904E-14 -3.564220E-14
         2   8 -2.722613E+03 -6.913389E-13 -6.913389E-13  5.931509E-16  1.376981E-13  2.673165E-14
         3   1 -2.722613E+03 -2.304463E-13 -2.304463E-13  2.023182E-13  2.240560E-13 -4.455275E-15
         3   2 -2.722613E+03 -2.304463E-13 -4.608926E-13  1.678937E-13 -4.300099E-13  4.455275E-15
         3   3 -2.722613E+03 -2.304463E-13 -2.304463E-13  1.896314E-13  2.331069E-13 -8.910551E-15
         3   4 -2.722613E+03 -2.304463E-13 -4.608926E-13 -1.029770E-13  6.806257E-13  2.673165E-14
         3   5 -2.722613E+03 -2.304463E-13 -2.304463E-13  1.691568E-14  9.600202E-14 -8.910551E-15
         3   6 -2.722613E+03 -4.608926E-13 -4.608926E-13 -5.193336E-14 -2.568493E-13 -9.578842E-14
         3   7 -2.722613E+03 -6.913389E-13 -6.913389E-13 -2.077334E-13  2.777688E-13 -3.564220E-14
         3   8 -2.722613E+03 -4.608926E-13 -6.913389E-13 -1.186302E-15  3.679712E-14 -1.616977E-31
         4   1 -2.722613E+03 -4.608926E-13  4.248143E-33  5.074705E-14  5.193336E-14 -6.237385E-14
         4   2 -2.722613E+03 -2.304463E-13 -2.304463E-13 -8.695103E-14  1.379947E-13 -1.782110E-14
         4   3 -2.722613E+03 -4.608926E-13 -4.608926E-13  6.766274E-14  6.884904E-14 -8.910551E-14
         4   4 -2.722613E+03  3.408589E-31 -2.886804E-32 -7.003534E-14  2.065471E-13 -1.336583E-13
         4   5 -2.722613E+03 -2.304463E-13  1.807177E-31 -3.442452E-14 -7.716404E-15 -9.801606E-14
         4   6 -2.722613E+03 -2.304463E-13 -4.747367E-32  2.858357E-32  6.973877E-14  4.009748E-14
         4   7 -2.722613E+03 -4.608926E-13 -4.608926E-13 -3.442452E-14  1.365118E-13 -1.425688E-13
         4   8 -2.722613E+03 -6.913389E-13 -6.913389E-13 -4.905043E-31  2.053608E-13 -9.801606E-14
         5   1 -2.722613E+03 -4.608926E-13 -4.608926E-13  4.406866E-14  2.753962E-13 -8.019496E-14
         5   2 -2.722613E+03 -4.608926E-13 -4.608926E-13  2.161913E-13 -9.036436E-14  2.673165E-14
         5   3 -2.722613E+03  4.555401E-31 -2.309443E-32 -2.053608E-13  1.080302E-31 -5.346330E-14
         5   4 -2.722613E+03  2.304463E-13  4.608926E-13  1.302783E-13  3.614575E-13  4.900803E-14
